country_name,avg_freedom,avg_happiness_score
Denmark,0.626,7.546
Norway,0.638,7.541
Finland,0.622,7.538
Switzerland,0.621,7.511
Iceland,0.618,7.511
Canada,0.611,7.351
Sweden,0.618,7.319
"New Zealand",0.618,7.313
Australia,0.605,7.276
Oman,0.633,6.853
