country,avg_gdp,avg_fam,avg_le,avg_free,avg_govcorr,avg_gen
Tunisia,0.937,0.762,0.69,0.245,0.07,0.05
"Palestinian Territories",0.657,1.052,0.614,0.234,0.093,0.105
Bangladesh,0.524,0.638,0.593,0.478,0.132,0.179
Iran,1.088,0.652,0.691,0.308,0.083,0.341
Ukraine,0.836,1.283,0.637,0.169,0.018,0.2
Iraq,1.043,0.868,0.545,0.216,0.113,0.174
"South Africa",0.98,1.258,0.29,0.428,0.071,0.126
Ghana,0.609,0.762,0.363,0.427,0.034,0.231
Zimbabwe,0.344,1.008,0.274,0.323,0.09,0.169
Liberia,0.089,0.789,0.303,0.333,0.043,0.238
India,0.731,0.588,0.499,0.462,0.088,0.224
Sudan,0.604,1.072,0.317,0.033,0.105,0.172
Haiti,0.323,0.616,0.336,0.089,0.126,0.448
"Congo (Kinshasa)",0.062,1.06,0.208,0.24,0.06,0.232
Nepal,0.431,1.039,0.558,0.432,0.074,0.337
Ethiopia,0.293,0.766,0.413,0.401,0.147,0.256
"Sierra Leone",0.318,0.844,0.05,0.34,0.068,0.247
Mauritania,0.569,1.079,0.342,0.132,0.134,0.178
Kenya,0.491,0.972,0.412,0.443,0.06,0.392
Djibouti,0.44,0.592,0.363,0.461,0.281,0.181
Armenia,0.839,0.891,0.698,0.216,0.039,0.082
Botswana,1.054,1.107,0.338,0.491,0.105,0.079
Myanmar,0.474,0.977,0.453,0.497,0.186,0.724
Georgia,0.854,0.481,0.683,0.352,0.267,0.052
Malawi,0.143,0.434,0.327,0.457,0.077,0.271
"Sri Lanka",0.937,1.141,0.691,0.532,0.068,0.384
Cameroon,0.519,0.852,0.201,0.437,0.05,0.208
Bulgaria,1.087,1.299,0.736,0.295,0.008,0.101
Egypt,0.925,0.861,0.571,0.239,0.091,0.107
Yemen,0.489,0.865,0.365,0.244,0.067,0.097
Angola,0.798,0.938,0.134,0.027,0.072,0.105
Mali,0.361,1.104,0.2,0.333,0.095,0.175
"Congo (Brazzaville)",0.723,0.717,0.347,0.423,0.093,0.112
Comoros,0.263,0.718,0.389,0.175,0.154,0.211
Uganda,0.319,1.066,0.286,0.429,0.063,0.28
Senegal,0.433,1.036,0.451,0.351,0.099,0.175
Gabon,1.102,1.026,0.423,0.313,0.077,0.05
Niger,0.127,0.802,0.283,0.386,0.134,0.199
Cambodia,0.548,0.876,0.512,0.638,0.07,0.336
Tanzania,0.44,0.939,0.397,0.387,0.084,0.312
Madagascar,0.266,0.773,0.434,0.177,0.063,0.193
"Central African Republic",0.032,0,0.05,0.322,0.053,0.243
Chad,0.382,0.804,0.095,0.178,0.059,0.193
Guinea,0.273,0.638,0.242,0.352,0.106,0.249
"Ivory Coast",0.547,0.786,0.111,0.428,0.132,0.181
"Burkina Faso",0.315,0.936,0.267,0.324,0.123,0.213
Afghanistan,0.357,0.41,0.255,0.118,0.058,0.268
Rwanda,0.322,0.788,0.418,0.582,0.473,0.226
Benin,0.377,0.34,0.275,0.419,0.071,0.186
Syria,0.699,0.356,0.566,0.082,0.16,0.431
Burundi,0.062,0.471,0.212,0.101,0.107,0.186
Togo,0.266,0.324,0.289,0.364,0.101,0.175
"Puerto Rico",1.359,1.081,0.778,0.468,0.123,0.222
Belize,0.864,0.956,0.46,0.551,0.098,0.22
Somalia,0.006,0.617,0.153,0.601,0.287,0.261
Namibia,0.913,1.099,0.382,0.482,0.079,0.069
"South Sudan",0.359,0.492,0.198,0.116,0.111,0.243
"Taiwan Province of China",1.434,1.385,0.794,0.361,0.064,0.258
"Hong Kong S.A.R., China",1.552,1.263,0.943,0.491,0.294,0.374
"Trinidad & Tobago",1.227,1.484,0.639,0.532,0.018,0.178
"Northern Cyprus",1.246,1.231,0.976,0.456,0.158,0.185
"North Macedonia",0.983,1.294,0.838,0.345,0.034,0.185
Gambia,0.308,0.939,0.428,0.382,0.167,0.269
