country,avg_gdp,avg_fam
Iceland,1.387,1.493
"Trinidad & Tobago",1.227,1.484
Denmark,1.397,1.448
Ireland,1.46,1.445
"New Zealand",1.318,1.44
Finland,1.357,1.434
Uzbekistan,0.724,1.434
Norway,1.519,1.431
Switzerland,1.472,1.417
Australia,1.395,1.409
